,ENSG00000230107,ENSG00000243811,ENSG00000100336,ENSG00000131100,ENSG00000100290,ENSG00000133466,ENSG00000188511,ENSG00000100147,ENSG00000093010,ENSG00000244752,ENSG00000100368,ENSG00000100243,ENSG00000100197,ENSG00000167065,ENSG00000100376,ENSG00000100116,ENSG00000069998,ENSG00000167077,ENSG00000243156,ENSG00000198951,ENSG00000184983,ENSG00000184117,ENSG00000226328,ENSG00000100266,ENSG00000130943,ENSG00000100417,ENSG00000128408,ENSG00000189306,ENSG00000198832,ENSG00000099956,ENSG00000077935,ENSG00000183172,ENSG00000099940,ENSG00000100321,ENSG00000167074,ENSG00000159958,ENSG00000170638,ENSG00000100300,ENSG00000075234,ENSG00000100304,ENSG00000183066,ENSG00000128245
HG00142,0.3980622,19.988417,0.22477233,32.888924,3.5961258,1.1443667,4.9637628,3.8976142,38.998707,1.4597782,6.7684436,40.566,0.5706471,1.8816961,4.3964186,5.814647,23.215902,12.272332,1.5507144,10.81504,51.39901,40.422714,2.126094,19.06025,0.03485481,13.387222,1.2241516,68.95126,1.835306,53.71957,-0.026550468,17.52344,15.296125,0.9649641,1.7329342,20.32401,26.13658,38.06377,10.507788,33.043915,0.2660716,58.731815
HG00146,0.6938088,15.452367,0.3475388,37.331253,4.350939,1.699808,2.4926794,3.6494813,43.275734,0.7475326,12.709607,47.422367,0.25387198,1.7751503,0.051448114,12.855842,30.63628,9.053346,3.5201297,13.064193,105.425476,36.33045,3.3638668,33.079594,0.026942901,17.964905,0.6857267,41.539433,2.0075386,49.532288,-0.12350633,21.91424,15.932439,17.99185,1.6893497,14.560303,26.334934,33.668716,10.788307,33.28471,0.2868101,73.80214
HG00148,0.5339136,22.951128,0.14891365,37.487373,4.499978,0.89537144,4.777633,4.922397,35.405426,0.7191786,1.5803043,36.881783,0.31995973,2.452965,8.428001,3.1285634,26.657991,14.176855,2.1827698,8.455417,84.15274,37.528122,2.7732117,29.423523,0.0234981,8.975028,1.4814334,55.206028,2.7823389,72.76741,0.1365027,18.887882,18.393211,-0.5258429,2.410393,22.686674,25.083883,33.584408,11.249256,24.724583,0.39269128,69.23651
HG00150,0.32225293,21.08098,0.3704692,34.597294,0.20631684,0.82537675,3.9032867,5.1989937,29.97368,0.20167874,5.7852464,40.895256,0.4225009,1.6724392,6.3454256,4.8719277,26.375921,8.968369,1.7721732,13.345598,80.10001,38.257614,4.903324,24.491158,0.01640409,15.739614,2.1279268,55.745617,4.3046417,51.98354,0.05286973,22.604002,14.333685,6.117009,1.8636185,22.085041,23.532608,33.186207,9.895772,31.19647,0.11726067,58.106297
HG00151,0.16731815,16.61386,0.2235564,33.013657,1.8568203,1.2271532,4.6406503,2.3073225,39.02849,0.26374063,7.8019385,33.882626,0.30210388,1.558195,9.161679,11.605561,28.517609,10.708209,2.2621803,12.254379,69.45797,45.968338,3.9094458,28.063484,0.015581975,14.798158,1.4953848,20.894627,2.1524818,61.37739,0.2913575,32.696198,14.11527,8.267868,2.2221963,18.302326,27.57514,47.937073,9.758776,37.589256,0.5272076,69.73729
HG00152,0.14223635,18.25753,0.21392381,37.100807,3.796536,0.48175678,3.130276,3.2299418,34.377243,0.5894036,6.5025253,43.068104,0.4511687,2.1360257,3.7283003,7.101155,27.816212,14.5792465,3.231374,10.639386,70.214005,33.35,3.5867968,20.706352,0.082070716,10.942967,1.2840897,28.716816,4.292283,60.843388,0.550701,30.95536,14.514198,3.1322377,2.2839346,18.930138,24.851614,28.974817,8.5500555,26.550688,0.523803,63.83044
HG00159,0.46382865,18.262047,0.024792504,46.50663,3.771502,1.1713964,3.7001524,3.7493198,35.447834,0.8517764,6.2696195,44.75317,0.29212642,2.2608752,9.814786,6.880618,25.694458,9.071946,0.98918265,9.394719,81.44193,28.923763,3.0653768,20.859035,0.013956382,11.858371,1.5270401,44.774857,2.6950598,59.42275,0.7042424,16.023,12.921406,6.1638637,1.5121019,19.859436,19.282894,47.239834,8.342722,24.114462,0.58935064,72.8652
HG00174,0.43160957,20.08268,0.40609398,37.991882,1.2048396,0.86821,4.2181196,4.096088,40.279484,0.82483643,3.922145,46.058304,0.28915915,2.1194377,9.137312,5.9332285,21.455246,8.373977,1.052796,11.243112,98.658356,44.687946,3.225684,22.125046,0.032893635,14.972818,0.9267191,16.397463,2.1135085,79.9804,0.021830918,23.671127,15.854106,3.8650029,1.5942712,22.94202,24.120266,26.871899,12.318541,27.934782,0.39592576,72.787384
HG00176,0.21344642,18.382805,0.1357542,35.430523,4.583007,1.2431631,4.8114514,4.0871906,36.880474,0.41234285,7.6975207,49.33264,0.4772316,1.8672395,23.504747,4.4087977,29.325798,16.035353,3.0259917,12.579656,45.938408,39.92404,2.4973843,26.786875,0.018838977,12.491542,1.4447416,28.885672,3.7767649,78.267944,0.4965629,28.825851,15.30842,2.8005278,1.6594937,22.728868,25.76374,24.639996,9.7266445,30.120539,0.5799374,61.92692
HG00177,0.2507702,18.963383,0.1882969,34.305893,7.553563,1.9028296,3.8939457,3.304315,35.83626,0.49307466,8.511037,50.36212,0.5235357,1.9717995,7.0465717,3.8176355,27.234919,15.410784,0.87560534,12.298732,46.481853,47.253056,3.5971494,41.841946,0.031346027,15.25836,1.2557341,42.92895,2.043545,84.91756,0.25548354,33.77087,16.820911,4.1965938,2.304604,22.103077,27.495636,17.219965,7.675895,32.87558,-0.1402219,58.65186
